,GISS-E2-2-G,GISS-E2-2-G,GISS-E2-2-G,HadGEM3-GC31-MM,HadGEM3-GC31-MM,HadGEM3-GC31-MM,CAMS-CSM1-0,CAMS-CSM1-0,CAMS-CSM1-0,CNRM-ESM2-1,CNRM-ESM2-1,CNRM-ESM2-1,FGOALS-g3,FGOALS-g3,FGOALS-g3,E3SM-1-0,E3SM-1-0,E3SM-1-0,CNRM-CM6-1,CNRM-CM6-1,CNRM-CM6-1,MRI-ESM2-0,MRI-ESM2-0,MRI-ESM2-0,MIROC6,MIROC6,MIROC6,CESM2-WACCM-FV2,CESM2-WACCM-FV2,CESM2-WACCM-FV2,MIROC-ES2L,MIROC-ES2L,MIROC-ES2L,ACCESS-CM2,ACCESS-CM2,ACCESS-CM2,AWI-CM-1-1-MR,AWI-CM-1-1-MR,AWI-CM-1-1-MR,CNRM-CM6-1-HR,CNRM-CM6-1-HR,CNRM-CM6-1-HR,CESM2-WACCM,CESM2-WACCM,CESM2-WACCM,BCC-ESM1,BCC-ESM1,BCC-ESM1,CESM2-FV2,CESM2-FV2,CESM2-FV2,NorCPM1,NorCPM1,NorCPM1,CanESM5,CanESM5,CanESM5,CMCC-CM2-SR5,CMCC-CM2-SR5,CMCC-CM2-SR5,BCC-CSM2-MR,BCC-CSM2-MR,BCC-CSM2-MR,MPI-ESM1-2-LR,MPI-ESM1-2-LR,MPI-ESM1-2-LR,SAM0-UNICON,SAM0-UNICON,SAM0-UNICON,MPI-ESM1-2-HR,MPI-ESM1-2-HR,MPI-ESM1-2-HR,ACCESS-ESM1-5,ACCESS-ESM1-5,ACCESS-ESM1-5,GISS-E2-1-G,GISS-E2-1-G,GISS-E2-1-G,HadGEM3-GC31-LL,HadGEM3-GC31-LL,HadGEM3-GC31-LL,GISS-E2-1-H,GISS-E2-1-H,GISS-E2-1-H
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
d,0.8716742658123119,10.688239235199651,514.4954287581838,1.0105035059211847,11.196818676243431,244.45084046394348,0.5765077667802506,4.917972121640963,135.2334410685177,0.9143635652811432,8.272801790838246,317.1242498608078,0.8801476819725244,5.026773541540923,240.41691973085648,0.9732162439649662,10.998013392327863,271.5363399026183,1.8045695283512568,24.68057894728301,753.9046254041227,0.9165585169166235,7.127598109341067,253.64489254049403,1.1256863711290648,47.59535258348436,94716391.99259347,0.6209488658149703,6.5071319835696775,458.36650749743484,0.9349351482921495,12.772066399834078,3399.7966153826796,0.6348008977456382,7.763780147261006,318.93555586202285,1.085035968147051,6.292515499767155,163.20761431859827,1.7221253552813436,15.630090135506176,295.5370303695508,0.3282433549815402,4.876966736286191,325.77342144846807,2.212214437802813,15.192545195220628,353.2065006982483,0.5305978403531476,4.370067726653071,417.25496340026206,1.4743556016932533,7.0977042169520335,282.0359098290817,1.2248192477645228,11.133102004345295,289.21615450291785,1.5432872797264927,29.331869151894573,567452.8037167679,0.9761706469180137,5.779531765832411,208.02701520505116,1.1778461473100055,6.152031201175263,256.2900617493467,0.8283661991221863,4.610789992754232,298.3956749645867,2.163161721274188,54.000497649607,842401485.6997722,2.3361618965917206,66.60555113137372,1042477554.4836757,0.5276808495841014,5.2396521396486015,713.3252295586555,0.7558397818511658,8.585121973463808,269.3318121470497,1.4902867229650745,31.220720842067898,24863080.96322181
q,0.1984797947082602,0.2293839644612179,0.011401127831734276,0.20897828506695862,0.5103354410889809,0.7305527515183715,0.09909006118124483,0.28414661000186436,0.15404672294068117,0.13337268039953198,0.6937489545724727,0.7240915118238581,0.14992263919017607,0.3073240578702383,0.33984266484470943,0.20199244660810037,0.6731160351706429,0.8467748189786722,0.3242657601165737,0.4419044856685658,5.813102894887182e-06,0.1967648478397126,0.4040677999327397,0.5578411947848109,0.30220696669275976,0.15467683701646084,0.0036981624263572807,0.1320701284212991,0.48549729113712736,1.1595486561523947,0.19889251723251522,0.2315770152921063,7.177067950992787e-06,0.13072911448268204,0.49495313054488566,0.7941639634839056,0.20310735994078147,0.3057887094191563,0.33462980270838355,0.2645705735597502,0.4445842131739025,0.19018115043462006,0.051586523669630534,0.48187191737539514,0.8637945395261879,0.3727009819761102,0.3279904056433165,0.5192515550639839,0.0862026558308545,0.44837466900336254,1.2615512810388594,0.17162634053252757,0.25429672357949895,0.4570039544806349,0.22722275360298622,0.6017774270012807,0.7789714960547078,0.33717147206641596,0.36777421681494105,0.001060124179575957,0.19197540734555996,0.23022637471906776,0.4023926480246176,0.15593034009987825,0.24407208808282366,0.23669575219003477,0.10588021571991439,0.4082829465454809,0.4530779637311568,0.3441533736124886,0.2371620512248372,3.3669181686717756e-06,0.44524502694558626,0.42593900604799073,2.4523348652985486e-06,0.22339102724266935,0.22169754138825606,0.05350023799963727,0.14339815649294585,0.5916575671853845,0.8514326529021466,0.3303728156531022,0.31058904894286643,0.03434776563015015
