variable,Ant,Ant,Ant,GHG,GHG,GHG,OHF,OHF,OHF,Nat,Nat,Nat
percentile,50,5,95,50,5,95,50,5,95,50,5,95
Year,,,,,,,,,,,,
2010-2019,1.09,0.9,1.3,1.38,1.0,1.8,-0.28,-0.7,0.1,0.05,-0.1,0.2
2014-2023,1.19,1.0,1.4,1.47,1.0,1.9,-0.27,-0.7,0.1,0.04,-0.1,0.2
2017,1.15,0.9,1.4,1.43,1.0,1.9,-0.28,-0.7,0.1,0.04,-0.1,0.2
2023,1.31,1.1,1.7,1.57,1.1,2.1,-0.26,-0.7,0.1,0.04,-0.1,0.2
2017 (SR15 definition),1.13,0.9,1.3,1.42,1.0,1.9,-0.28,-0.8,0.1,0.05,-0.1,0.2
2023 (SR15 definition),1.31,1.1,1.6,1.57,1.1,2.1,-0.26,-0.7,0.1,0.04,-0.1,0.2
