variable,Nat,Nat,Nat,Nat,Nat,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF,Tot,Tot,Tot,Tot,Tot,Ant,Ant,Ant,Ant,Ant
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2019 (AR6 rate definition),-0.001,0,0,0,0,0.017,0.02,0.027,0.029,0.024,-0.004,-0.001,0.006,0.008,0.002,0.021,0.023,0.028,0.03,0.026,0.021,0.023,0.029,0.031,0.026
2015-2024 (AR6 rate definition),-0.004,-0.004,-0.003,-0.002,-0.003,0.017,0.02,0.027,0.029,0.024,-0.003,0,0.007,0.009,0.004,0.019,0.021,0.027,0.029,0.024,0.022,0.024,0.03,0.032,0.027
