variable,Ant,Ant,Ant,GHG,GHG,GHG,OHF,OHF,OHF,Nat,Nat,Nat
percentile,50,5,95,50,5,95,50,5,95,50,5,95
Year,,,,,,,,,,,,
2010-2019,1.09,0.9,1.3,1.4,1.0,1.9,-0.3,-0.8,0.1,0.05,-0.1,0.2
2015-2024,1.22,1.0,1.5,1.51,1.0,2.0,-0.28,-0.8,0.1,0.05,-0.1,0.2
2017,1.15,0.9,1.4,1.46,1.0,1.9,-0.29,-0.8,0.1,0.05,-0.1,0.2
2024,1.37,1.1,1.8,1.62,1.1,2.1,-0.26,-0.8,0.1,0.04,-0.1,0.2
2017 (SR15 definition),1.13,0.9,1.3,1.45,1.0,1.9,-0.31,-0.8,0.1,0.05,-0.1,0.2
2024 (SR15 definition),1.36,1.1,1.7,1.62,1.1,2.1,-0.26,-0.8,0.1,0.04,-0.1,0.2
