variable,Ant,Ant,Ant,GHG,GHG,GHG,OHF,OHF,OHF,Nat,Nat,Nat
percentile,50,5,95,50,5,95,50,5,95,50,5,95
Year,,,,,,,,,,,,
2010-2019,1.07,0.9,1.3,1.39,1.0,1.8,-0.31,-0.8,0.1,0.05,-0.1,0.2
2016-2025,1.24,1.0,1.5,1.52,1.1,2.0,-0.28,-0.8,0.1,0.04,-0.1,0.2
2017,1.14,0.9,1.4,1.44,1.0,1.9,-0.3,-0.8,0.1,0.05,-0.1,0.2
2025,1.38,1.1,1.7,1.63,1.1,2.1,-0.26,-0.8,0.2,0.04,-0.1,0.2
2017 (SR15 definition),1.12,0.9,1.3,1.44,1.0,1.9,-0.31,-0.8,0.1,0.05,-0.1,0.2
2025 (SR15 definition),1.37,1.1,1.7,1.63,1.1,2.1,-0.26,-0.8,0.2,0.04,-0.1,0.2
