variable,Nat,Nat,Nat,Nat,Nat,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF,Tot,Tot,Tot,Tot,Tot,Ant,Ant,Ant,Ant,Ant
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,
2012,0.042,0.05,0.072,0.081,0.06,1.117,1.258,1.577,1.713,1.425,-0.708,-0.574,-0.272,-0.145,-0.431,0.928,0.978,1.123,1.176,1.055,0.864,0.919,1.063,1.119,0.994
2013,0.047,0.055,0.08,0.09,0.067,1.135,1.277,1.602,1.745,1.448,-0.708,-0.573,-0.268,-0.142,-0.429,0.958,1.008,1.156,1.21,1.086,0.887,0.943,1.089,1.143,1.019
2014,0.05,0.059,0.085,0.096,0.072,1.153,1.298,1.629,1.774,1.471,-0.709,-0.573,-0.265,-0.14,-0.427,0.986,1.038,1.186,1.242,1.116,0.91,0.968,1.114,1.168,1.045
2015,0.049,0.059,0.085,0.095,0.071,1.17,1.319,1.656,1.802,1.495,-0.71,-0.571,-0.261,-0.135,-0.425,1.01,1.063,1.212,1.266,1.141,0.936,0.993,1.14,1.193,1.07
2016,0.046,0.055,0.079,0.088,0.066,1.186,1.338,1.68,1.83,1.518,-0.712,-0.571,-0.255,-0.129,-0.422,1.029,1.083,1.235,1.287,1.162,0.96,1.018,1.165,1.219,1.096
2017,0.042,0.05,0.072,0.081,0.06,1.203,1.358,1.705,1.86,1.541,-0.71,-0.57,-0.249,-0.122,-0.42,1.048,1.102,1.256,1.307,1.182,0.985,1.041,1.193,1.247,1.122
2018,0.038,0.045,0.065,0.072,0.054,1.219,1.38,1.73,1.889,1.565,-0.713,-0.571,-0.244,-0.113,-0.417,1.065,1.121,1.276,1.33,1.202,1.007,1.067,1.219,1.276,1.148
2019,0.033,0.04,0.057,0.065,0.048,1.236,1.401,1.758,1.917,1.588,-0.71,-0.57,-0.238,-0.107,-0.413,1.08,1.14,1.296,1.354,1.223,1.032,1.092,1.246,1.305,1.175
2020,0.03,0.035,0.051,0.058,0.043,1.252,1.421,1.784,1.945,1.611,-0.71,-0.57,-0.233,-0.105,-0.41,1.1,1.161,1.319,1.379,1.244,1.055,1.118,1.276,1.336,1.201
2021,0.029,0.034,0.049,0.055,0.041,1.269,1.443,1.809,1.974,1.635,-0.708,-0.567,-0.227,-0.1,-0.407,1.121,1.186,1.346,1.408,1.269,1.079,1.146,1.305,1.366,1.228
2022,0.029,0.035,0.051,0.057,0.042,1.286,1.463,1.834,2.003,1.658,-0.706,-0.565,-0.223,-0.09,-0.403,1.146,1.213,1.376,1.439,1.298,1.104,1.171,1.334,1.398,1.255
2023,0.031,0.037,0.053,0.059,0.044,1.303,1.484,1.861,2.032,1.681,-0.705,-0.563,-0.219,-0.079,-0.399,1.173,1.24,1.408,1.471,1.327,1.129,1.196,1.364,1.429,1.283
2024,0.031,0.037,0.054,0.06,0.045,1.321,1.505,1.888,2.06,1.705,-0.707,-0.561,-0.212,-0.071,-0.395,1.197,1.267,1.437,1.503,1.355,1.152,1.221,1.392,1.461,1.31
2025,0.03,0.036,0.052,0.059,0.044,1.338,1.525,1.912,2.088,1.728,-0.705,-0.559,-0.208,-0.065,-0.391,1.221,1.292,1.464,1.533,1.381,1.176,1.248,1.421,1.491,1.337
