variable,Nat,Nat,Nat,Nat,Nat,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF,Tot,Tot,Tot,Tot,Tot,Ant,Ant,Ant,Ant,Ant
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,
2017,0.042,0.05,0.072,0.081,0.06,1.203,1.358,1.705,1.86,1.541,-0.71,-0.57,-0.249,-0.122,-0.42,1.048,1.102,1.256,1.307,1.182,0.984,1.041,1.193,1.247,1.122
2025,0.03,0.036,0.052,0.059,0.044,1.337,1.525,1.913,2.088,1.728,-0.705,-0.559,-0.208,-0.065,-0.391,1.221,1.292,1.464,1.533,1.381,1.176,1.248,1.421,1.491,1.337
2017 (SR15 definition),0.043,0.051,0.073,0.082,0.061,1.203,1.358,1.705,1.859,1.541,-0.716,-0.575,-0.255,-0.126,-0.424,1.045,1.1,1.253,1.304,1.179,0.979,1.037,1.188,1.242,1.117
2025 (SR15 definition),0.028,0.033,0.048,0.054,0.041,1.337,1.525,1.913,2.088,1.728,-0.708,-0.562,-0.209,-0.069,-0.394,1.215,1.285,1.458,1.527,1.375,1.174,1.245,1.417,1.488,1.334
2010-2019,0.042,0.05,0.072,0.081,0.061,1.162,1.308,1.642,1.788,1.483,-0.71,-0.571,-0.262,-0.137,-0.425,0.988,1.041,1.19,1.244,1.119,0.924,0.983,1.128,1.181,1.058
2016-2025,0.034,0.04,0.058,0.065,0.049,1.26,1.432,1.797,1.959,1.623,-0.708,-0.569,-0.23,-0.102,-0.408,1.118,1.181,1.34,1.402,1.264,1.067,1.132,1.292,1.352,1.216
