variable,GHG,GHG,GHG,GHG,GHG,Nat,Nat,Nat,Nat,Nat,OHF,OHF,OHF,OHF,OHF,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,bc_snow,bc_snow,bc_snow,bc_snow,bc_snow,ch4,ch4,ch4,ch4,ch4,co2,co2,co2,co2,co2,contrails,contrails,contrails,contrails,contrails,h2o_strat,h2o_strat,h2o_strat,h2o_strat,h2o_strat,halogen,halogen,halogen,halogen,halogen,land_use,land_use,land_use,land_use,land_use,n2o,n2o,n2o,n2o,n2o,o3,o3,o3,o3,o3,solar,solar,solar,solar,solar,volcanic,volcanic,volcanic,volcanic,volcanic,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot,Res,Res,Res,Res,Res
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1.185216829776764,1.3652239241600037,1.685063513278961,1.8349328863620757,1.5222778558731078,0.01521566911600526,0.04033363533020012,0.11241120477020738,0.1419665025174617,0.07500575482845302,-0.4849514052271843,-0.3267645588517189,-0.0635464046299457,0.10667169747874104,-0.18813075125217438,-0.6736231142282486,-0.4673407948613167,-0.18528754007816312,-0.13266724638640884,-0.28430814743041993,-0.23634896680712697,-0.16445175117254252,-0.040538857966661394,0.0009976258780807008,-0.09262779876589772,0.0009428186062722999,0.01087768830358978,0.05831160651147361,0.09795702539384356,0.026352150551974696,0.17924802765250203,0.2083387523293495,0.290936794936657,0.32663560062646857,0.24895959049463273,0.7549619656801224,0.8719234385490418,1.0891492686271667,1.1823993980884553,0.9800368845462799,0.00580069421790536,0.01003996859863396,0.034518920280039264,0.049427434876561094,0.01908421628177162,0.0011342385224998,0.006705788854509519,0.038735483884811364,0.06003912251442661,0.01735608149319882,0.14004090994596477,0.16606073823571202,0.22458033168315888,0.2497203962504863,0.19394028782844544,-0.15956892043352122,-0.10161347791552537,-0.02677564206719396,-0.010697128903120719,-0.05443787761032576,0.07186327107250687,0.08320708173513411,0.1115625821202993,0.12359329685568801,0.09719518199563021,0.06446382913738485,0.09684035822749135,0.33217115223407745,0.5280704182386393,0.1812556907534599,-0.0019534113357075797,0.00245242685871196,0.02175222748517984,0.03322092171758406,0.010498155094683121,0.01284470711834724,0.033992381870746546,0.09433306731283657,0.11867558844387524,0.06308917440474025,1.2043174481391907,1.262431832075119,1.396180772781372,1.44585156917572,1.3302037239074707,1.2947867834568023,1.3459099967479706,1.466563236951828,1.5132440102100373,1.4052512645721436,-0.10717130787670609,-0.06021147812902924,0.06176117074489588,0.11271300271153437,0.0017353291856124801
2017,1.0530986446142196,1.2132670123577118,1.4960314593315125,1.6293437123298642,1.3521450757980347,0.013827119916677419,0.03639144571125504,0.10244687728583811,0.12940547451376902,0.0678312093019485,-0.4830994921922684,-0.35962787675857544,-0.11045620518922804,0.041149394074454636,-0.23066738098859788,-0.6506662172079086,-0.4684977653026581,-0.20361941400170322,-0.14722245141863824,-0.3049361318349838,-0.26262822121381757,-0.18390131464600562,-0.0448979295492172,0.007466255626641197,-0.10377476364374155,0.0009683939372189,0.0111752335131168,0.059789713911712124,0.1003578629344701,0.0270366936922073,0.16780419647693634,0.19500903880596157,0.27217090827226637,0.30553512126207344,0.23294998258352273,0.6535311752557754,0.7547946331501008,0.9425593277215958,1.0231628155708312,0.848279458284378,0.0048823912814259,0.008449788422323721,0.02904262885823842,0.04157210115343326,0.016059267614036737,0.0010467942373361598,0.00618893966032184,0.03574839671701186,0.055409998893737704,0.01601673765107984,0.13203731998801227,0.1574126367270946,0.21429990935325618,0.23859864592552177,0.18423724472522734,-0.15590301543474194,-0.09926017236709589,-0.026393465843051637,-0.011299757231026861,-0.05330459699034686,0.06243442650884384,0.07229458414018153,0.0969448516964912,0.10740639641880981,0.08445303514599793,0.060725046172738016,0.09118956343829628,0.3126860262155533,0.49701410651206923,0.17064841687679286,-0.012556797461584182,-0.0060160958403721,0.0066716702608391205,0.01341014734469348,0.0006943860360479072,0.013800890743732402,0.03664585507661098,0.1011119810789823,0.1259212600439786,0.06794285401701924,1.0277996301651,1.0680206496715545,1.173792747735977,1.210010051727295,1.1227154970169066,1.113698694705963,1.145120668411255,1.2350549697875977,1.2683467662334442,1.1903574466705322,-0.07473749265074728,-0.0410015795975923,0.049742210917174776,0.08139928169548502,0.004202434454418799
2025 (SR15 definition),1.182090038429289,1.3617329132486795,1.6806458280279364,1.830094289227444,1.5183416788192359,0.01303303957153246,0.03419758174853288,0.09769796121361499,0.1250521282216205,0.06402694574447677,-0.47036728916799353,-0.319750330215868,-0.059857347585425255,0.1118208616406494,-0.1833421895718751,-0.6585321543409547,-0.4588995372867762,-0.1816802087662852,-0.12970575665397693,-0.27942500672138804,-0.23068897731492632,-0.16027902405511815,-0.03904479225105877,0.0019139952633721398,-0.09003207088064624,0.0009275947066592001,0.010701833837980559,0.0574460070264142,0.09656868635293309,0.02594914644107438,0.17842587118530107,0.207393795488731,0.28966036729251643,0.32521403133211774,0.24784593900994345,0.7525582425515444,0.8691484175718887,1.0856419974206128,1.1785712621711635,0.9769061930477624,0.005505146824802659,0.00953168750905616,0.032780420225195755,0.04694881260449824,0.018124523102168822,0.00112738076040198,0.006664984473804481,0.03850345331175688,0.0596826330142314,0.017251674463178022,0.14055533944738702,0.16671999962956596,0.22557621749819204,0.25090138549971236,0.19474083825069316,-0.15875290656462315,-0.1010928245683146,-0.026596370990223682,-0.01051871246233692,-0.05413349201793178,0.07147270344882546,0.0827566986649352,0.11096277387144375,0.12293105947401592,0.09667041908182641,0.06400765935150796,0.09617200388178669,0.329950263759231,0.5245888476051827,0.18002116693293355,-0.007975309376779439,-0.0019354284495844397,0.01228774586651854,0.020747426769983722,0.0041535683550618,0.012073367786977181,0.03174626833452456,0.0900534051613992,0.11438649730482953,0.05944350877338472,1.2085418177790508,1.2649834029017133,1.3979635518771765,1.4477855567940898,1.332036722232314,1.2879742709371977,1.3387557544690725,1.4575663503986955,1.5041096210041474,1.3964229136705404,-0.07831050795617238,-0.032403994145411105,0.08399814130315851,0.13454522277122374,0.02769851313757544
2017 (SR15 definition),1.0489697989558475,1.208577948714881,1.4904865644276148,1.6234076899202434,1.3470142604673616,0.01350301700651038,0.03551315500568048,0.10015958430771445,0.12687442801235355,0.0661972000126672,-0.500500737628078,-0.3757120344954381,-0.12274783851776055,0.02825636133206598,-0.24471093040397954,-0.6686071814246042,-0.4828450835163105,-0.2122271476909519,-0.15389291341142625,-0.31665413752198235,-0.2747925440484988,-0.1925965714283726,-0.04684537010371464,0.00902289029414076,-0.10869499883778833,0.00100926479921324,0.01165014091701764,0.062224834272418816,0.10436240490854659,0.028150686948998395,0.16703416585593547,0.19414399673110422,0.2711017497162171,0.304376763714587,0.2319666718297146,0.650133770270383,0.7508594539963152,0.9377464422951729,1.0179789068330738,0.8438916971578322,0.0047883307918142,0.00828723550989178,0.028483432244249204,0.040770782431834025,0.01575018371770372,0.0010409460113014201,0.006153704848575281,0.035554529842783615,0.0551181411214501,0.01592894495218332,0.13233308797154358,0.1578238453682074,0.21513262220318707,0.2396337606012821,0.18482059360865288,-0.1557426447300789,-0.09914550935838591,-0.026334915376870917,-0.01123135221077758,-0.05322543667519792,0.062152910175842846,0.07196876781943305,0.096510135735659,0.10692594930913081,0.08407307063941569,0.06124978887273327,0.09196193038014804,0.3152692332725754,0.5010812311268901,0.17207942549139266,-0.014840518098893139,-0.007670112355069239,0.00488485160805624,0.011132554049408399,-0.00012819359710778002,0.01375544671934804,0.03646609713257668,0.10127887529660676,0.12646846653181398,0.06776324914330067,1.0111257118118162,1.0498989987776566,1.1534896367201035,1.1881294312459587,1.103854918918189,1.0944060969878648,1.1251076657395156,1.2133601761714503,1.2453604755200012,1.1697328977725088,-0.10138887442476315,-0.06970616289919952,0.017487020528871838,0.047540995266642815,-0.026715694979234504
2016-2025,1.1101924300193786,1.2789499201774597,1.5777287406921388,1.718199250698089,1.4256806373596191,0.012903595780953741,0.03384815134853122,0.09640394952893254,0.12283468089997762,0.06332286596298214,-0.4794783261418343,-0.343114518225193,-0.08913200254738322,0.07030149104073624,-0.21044157445430753,-0.655276221036911,-0.4647784117460251,-0.19421265912055966,-0.13988170489668852,-0.2937358945608139,-0.2484061586856842,-0.1735068933665752,-0.04252599383145568,0.00463741139043122,-0.09784077256917952,0.0009500959771685,0.01096307830698784,0.058715668380260426,0.09860478192567818,0.02654153797775502,0.1726296880841255,0.2006309801638126,0.2800840755701065,0.3144349539279937,0.23970148861408233,0.6973041188716889,0.805332972407341,1.005843405008316,1.0919164812564848,0.9051445901393891,0.00504118360811842,0.008726587230339599,0.030001305121928414,0.04295448485761874,0.016589279286563362,0.0010834555106703201,0.006405801432207181,0.03700164459645746,0.05735213942825788,0.01657881056889886,0.13573621004819866,0.16143666252493855,0.21907607817649838,0.24376129567623134,0.18874108791351318,-0.15738681629300116,-0.10020961643755433,-0.026541726965457143,-0.01103676935657854,-0.05376362502574914,0.06646410897374147,0.07695826961100095,0.10319191715121263,0.11432397462427608,0.0898985013365745,0.0621351101994514,0.09332578791677948,0.32007594764232633,0.5088109448552127,0.17466253787279123,-0.0112746156007051,-0.00475290754996234,0.008229713093489341,0.01536186048761002,0.00171711901202794,0.012607124401256404,0.033282820351421806,0.09334211403131482,0.1174408879876136,0.062059492245316455,1.109333130121231,1.1550400733947754,1.2705777406692504,1.3119704985618592,1.2140552401542664,1.1899396121501922,1.2283907175064086,1.3282728474140166,1.3663226139545441,1.2776267051696777,-0.08500849664211269,-0.047836887009441796,0.04935730812698598,0.08715813219547261,0.0014371845551068045
2010-2019,1.0143990409374237,1.1686449406147004,1.4408035678863524,1.5693636071681973,1.3023141860961913,0.013326674951240378,0.03510255823284382,0.09852855256199834,0.12433422900736324,0.06535175368189808,-0.5004458427429199,-0.37769850730896,-0.12956086471676825,0.015370677558239221,-0.24874227195978166,-0.6580579215288163,-0.4767937059998512,-0.21116133028268813,-0.15326728254556665,-0.3144052267074585,-0.2746662560105324,-0.1928379130363464,-0.047471344366669645,0.00827609230764208,-0.10909292846918102,0.0009861297323368002,0.011384791929274761,0.06078953056037422,0.10194147728383529,0.02750301640480752,0.1650461937487125,0.1917786473333835,0.26755746513605116,0.30032986670732487,0.22904345542192456,0.6236336541175842,0.7202557383775711,0.8995077452659607,0.9764597648382184,0.8094880044460296,0.00442678587278342,0.007661518326029139,0.026332728158682542,0.03769213274121276,0.014560972433537179,0.00102617316006216,0.0060675949435680596,0.03504184289276596,0.05431044753640887,0.01569997398182746,0.12912569932639595,0.15416889038681983,0.21031730473041535,0.2342321263253688,0.18058372437953946,-0.15569788396358483,-0.09912926639616483,-0.02645774617046116,-0.011618122644722421,-0.05328001789748664,0.059862236082553824,0.06931489655375475,0.09294647377729412,0.10297490201890462,0.0809710010886192,0.059769546985626185,0.08972656939923755,0.3075587086081505,0.4887861093878742,0.1678824469447136,-0.013294489067047778,-0.006603885499760439,0.0057337275166064,0.01209325792267912,0.00034225603303637413,0.0134130107238888,0.0356191345378756,0.09835168230533596,0.12227034062147132,0.06608464345335954,0.9650576436519622,1.0023654897212981,1.1020867347717285,1.1344972884654998,1.0547150373458862,1.0479170024394988,1.0765887022018432,1.1606932442188262,1.1896564960479736,1.1194649457931518,-0.10192650839686387,-0.07387854811549183,0.00944354597292836,0.03686225201934566,-0.03346509225666516
