variable,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,
2010-2019,1.0209275114483272, , ,1.2841208742311674,1.1521131421006574,-0.017891696, , ,0.054893152569790625,0.018507825065693796,1.2250179163575279, , ,1.6404282781157953,1.4312146543668929,-0.449153213, , ,-0.063309452,-0.254719547
2016-2025,1.1971841222929793, , ,1.5165628385091432,1.3564039829630539,-0.03020414, , ,0.049886138,0.009842823,1.3608323072018405, , ,1.8210621290185716,1.5892807285189847,-0.411439177, , ,-0.053232739,-0.230976288
2017 (SR15 definition),1.0559091823692552, , ,1.3277841752157722,1.1914211568550248,-0.01679392, , ,0.052479845,0.017849898,1.2649769077668132, , ,1.6977887179772615,1.479892780354828,-0.465181695, , ,-0.064633006,-0.263300448
2025 (SR15 definition),1.3275350837404258, , ,1.6991453174577034,1.5128382556780506,-0.042118378, , ,0.050717563,0.004299893,1.4621945004719195, , ,1.960577083,1.7095839492169471,-0.386446394, , ,-0.040430533,-0.212266063
