variable,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,
2017,1.013816688,1.077168433,1.252563993,1.316222825,1.164654178,-0.029452815,-0.011717806,0.037261217,0.054993778,0.012773395,1.217689689,1.307658643,1.557788519,1.648948095,1.431901484,-0.445984712,-0.362314753,-0.132820721,-0.050305346,-0.246770525
2025,1.248562704,1.342936944,1.604045436,1.69874976,1.473263275,-0.03897271,-0.019628456,0.033797577,0.05314114,0.007085037,1.402155767,1.503703242,1.786087344,1.889024908,1.64393547,-0.377392924,-0.299379676,-0.084943706,-0.007675734,-0.191647096
2017 (SR15 definition),1.0037534950479985, , ,1.2638028277425006,1.1333755861943193,-0.015714771, , ,0.050222353201572756,0.017260603,1.2133583448014225, , ,1.6286639068603235,1.4195781577561757,-0.457423262, , ,-0.063522521,-0.258957288
2025 (SR15 definition),1.2608244626222889, , ,1.6166496353882696,1.4382632523162082,-0.040397108, , ,0.049932053427087876,0.004767852,1.3985822651723698, , ,1.8753859310960959,1.6353120938666816,-0.380141519, , ,-0.040167614,-0.209003167
2010-2019,0.971303193, , ,1.222412159,1.096467458,-0.016636539, , ,0.052800248,0.01808896,1.175333341, , ,1.574068063,1.373290611,-0.441564027, , ,-0.062354725,-0.250481712
2016-2025,1.1382173346554714, , ,1.4434176000876477,1.2903728301446047,-0.028658595, , ,0.048379318436806644,0.009862266,1.3032313377152485, , ,1.744018080289941,1.5219700017168216,-0.404105719, , ,-0.052505646,-0.226972737
